x,y
181072,333611
181025,333558
181165,333537
181298,333484
181307,333330
181390,333260
181165,333370
181027,333363
181060,333231
181232,333168
181191,333115
181032,333031
180874,333339
180969,333252
181011,333161
180830,333246
180763,333104
180694,332972
180625,332847
180555,332707
180642,332708
180704,332717
180704,332664
181153,332925
181147,332823
181167,332778
181008,332777
180973,332687
180916,332753
181352,332946
181133,332570
180878,332489
180829,332450
180954,332399
180956,332318
180710,332330
180632,332445
180530,332538
180478,332578
180383,332476
180494,332330
180561,332193
180451,332175
180410,332031
180355,332299
180292,332157
180283,332014
180282,331861
180270,331707
180199,331591
180135,331552
180237,332351
180103,332297
179973,332255
179826,332217
179687,332161
179792,332035
179902,332113
180100,332213
179604,332059
179526,331936
179495,331770
179489,331633
179414,331494
179334,331366
179255,331264
179470,331125
179692,330933
179852,330801
179140,330955
179128,330867
179065,330864
179007,330727
179110,330758
179032,330645
179095,330636
179058,330510
178810,330666
178912,330779
178981,330924
179076,331005
180151,330353
179211,331175
181118,333214
179474,331304
179559,331423
179022,330873
178953,330742
178875,330516
178803,330349
179029,330394
178605,330406
178701,330557
179547,330245
179301,330179
179405,330567
179462,330766
179293,330797
179180,330710
179206,330398
179618,330458
179782,330540
179980,330773
180067,331185
180162,331387
180451,331473
180328,331158
180276,330963
180114,330803
179881,330912
179774,330921
179657,331150
179731,331245
179717,331441
179446,331422
179524,331565
179644,331730
180321,330366
180162,331837
180029,331720
179797,331919
179642,331955
179849,332142
180265,332297
180107,332101
180462,331947
180478,331822
180347,331700
180862,333116
180700,332882
180201,331160
180173,331923
180923,332874
180467,331694
179917,331325
179822,331242
179991,331069
179120,330578
179034,330561
179085,330433
179236,330046
179456,330072
179550,329940
179445,329807
179337,329870
179245,329714
179024,329733
178786,329822
179135,329890
179030,330082
179184,330182
179085,330292
178875,330311
179466,330381
180627,330190
