x,y
181179.7661,332919.9052
178820.2339,330440.0948
179180.4678,330440.0948
180999.6491,332900.3791
179000.3509,330459.6209
180639.4152,332099.8104
179000.3509,330420.5687
180999.6491,332939.4313
179540.7018,330440.0948
179360.5848,330459.6209
180459.2982,332080.2844
179540.7018,331279.7156
179360.5848,330420.5687
180819.5322,332119.3365
179720.8187,331260.1896
180279.1813,331260.1896
180279.1813,332099.8104
179900.9357,330440.0948
178820.2339,330479.1469
181179.7661,332880.8531
179720.8187,330459.6209
179900.9357,331279.7156
180099.0643,331279.7156
180099.0643,332080.2844
180639.4152,332060.7583
179540.7018,331240.6635
180459.2982,332119.3365
179180.4678,330479.1469
180819.5322,332880.8531
179720.8187,330420.5687
178820.2339,330401.0427
181179.7661,332958.9573
179540.7018,330479.1469
179918.9474,331260.1896
180081.0526,332099.8104
180081.0526,331260.1896
179738.8304,330440.0948
179720.8187,331299.2417
180279.1813,332060.7583
180279.1813,331299.2417
180099.0643,332119.3365
179900.9357,331240.6635
180099.0643,331240.6635
179738.8304,331279.7156
180261.1696,331279.7156
180261.1696,332080.2844
179918.9474,330459.6209
180081.0526,330459.6209
179180.4678,330401.0427
179918.9474,330420.5687
180639.4152,332138.8626
179900.9357,330479.1469
180099.0643,330479.1469
179540.7018,330401.0427
180261.1696,332119.3365
179738.8304,331240.6635
180261.1696,331240.6635
179000.3509,330498.673
180999.6491,332861.327
179918.9474,332060.7583
179918.9474,331299.2417
180081.0526,331299.2417
180081.0526,332060.7583
179378.5965,330440.0948
180441.2865,332099.8104
179558.7135,331260.1896
180621.4035,332080.2844
180279.1813,332138.8626
179720.8187,331221.1374
180279.1813,331221.1374
179558.7135,330459.6209
179360.5848,330498.673
179900.9357,330401.0427
179738.8304,330479.1469
180261.1696,330479.1469
179558.7135,330420.5687
179540.7018,331318.7678
180459.2982,332041.2322
180999.6491,332978.4834
179000.3509,330381.5166
180621.4035,332119.3365
179720.8187,330498.673
179558.7135,331299.2417
180441.2865,332060.7583
180081.0526,331221.1374
179918.9474,331221.1374
179738.8304,330401.0427
180981.6374,332919.9052
179018.3626,330440.0948
179900.9357,331318.7678
180099.0643,331318.7678
179900.9357,332041.2322
180099.0643,332041.2322
179360.5848,330381.5166
180801.5205,332099.8104
179378.5965,330479.1469
179198.4795,330459.6209
180081.0526,330498.673
179918.9474,330498.673
179720.8187,330381.5166
179198.4795,330420.5687
180261.1696,331318.7678
179738.8304,331318.7678
180261.1696,332041.2322
179378.5965,330401.0427
179558.7135,331221.1374
180441.2865,332138.8626
180639.4152,332021.7062
180819.5322,332158.3886
180981.6374,332880.8531
179018.3626,330479.1469
179540.7018,331201.6114
180459.2982,332158.3886
180279.1813,331338.2938
180279.1813,332021.7062
179720.8187,331338.2938
179558.7135,330498.673
180621.4035,332041.2322
178838.2456,330459.6209
181161.7544,332900.3791
181179.7661,332841.8009
178820.2339,330518.1991
179018.3626,330401.0427
180981.6374,332958.9573
179900.9357,331201.6114
180099.0643,331201.6114
178838.2456,330420.5687
181161.7544,332939.4313
180801.5205,332138.8626
179180.4678,330518.1991
180819.5322,332841.8009
179918.9474,332021.7062
180081.0526,332021.7062
180081.0526,331338.2938
179918.9474,331338.2938
179558.7135,330381.5166
179540.7018,330518.1991
179738.8304,331201.6114
180261.1696,332158.3886
180261.1696,331201.6114
179198.4795,330498.673
179360.5848,331182.0853
180639.4152,332177.9147
179900.9357,330518.1991
180099.0643,330518.1991
178820.2339,330361.9905
181179.7661,332998.0095
180441.2865,332021.7062
179558.7135,331338.2938
179180.4678,330361.9905
179198.4795,330381.5166
179378.5965,331201.6114
180621.4035,332158.3886
179720.8187,331182.0853
180279.1813,331182.0853
180279.1813,332177.9147
179540.7018,330361.9905
179738.8304,330518.1991
180261.1696,330518.1991
179000.3509,330537.7251
180999.6491,332822.2749
181161.7544,332861.327
178838.2456,330498.673
178982.3392,330440.0948
181017.6608,332919.9052
179360.5848,330537.7251
179918.9474,331182.0853
180081.0526,331182.0853
179378.5965,330518.1991
179720.8187,330537.7251
181161.7544,332978.4834
178838.2456,330381.5166
181197.7778,332900.3791
178802.2222,330459.6209
179738.8304,330361.9905
180999.6491,333017.5355
179000.3509,330342.4645
179540.7018,331357.8199
180459.2982,332002.1801
178802.2222,330420.5687
181197.7778,332939.4313
179558.7135,331182.0853
180441.2865,332177.9147
178982.3392,330479.1469
181017.6608,332880.8531
179360.5848,330342.4645
179918.9474,330537.7251
180081.0526,330537.7251
180981.6374,332841.8009
179018.3626,330518.1991
180099.0643,331357.8199
179900.9357,332002.1801
180099.0643,332002.1801
