x,y,cadmium,copper,lead,zinc,elev,om,ffreq,soil,lime,landuse,dist
181072.00,333611.00,11.70,85.00,299.00,1022.00,7.91,13.60,1,1,1,Ah,50.00
181025.00,333558.00,8.60,81.00,277.00,1141.00,6.98,14.00,1,1,1,Ah,30.00
181165.00,333537.00,6.50,68.00,199.00,640.00,7.80,13.00,1,1,1,Ah,150.00
181298.00,333484.00,2.60,81.00,116.00,257.00,7.66,8.00,1,2,0,Ga,270.00
181307.00,333330.00,2.80,48.00,117.00,269.00,7.48,8.70,1,2,0,Ah,380.00
181390.00,333260.00,3.00,61.00,137.00,281.00,7.79,7.80,1,2,0,Ga,470.00
181165.00,333370.00,3.20,31.00,132.00,346.00,8.22,9.20,1,2,0,Ah,240.00
181027.00,333363.00,2.80,29.00,150.00,406.00,8.49,9.50,1,1,0,Ab,120.00
181060.00,333231.00,2.40,37.00,133.00,347.00,8.67,10.60,1,1,0,Ab,240.00
181232.00,333168.00,1.60,24.00,80.00,183.00,9.05,6.30,1,2,0,W,420.00
181191.00,333115.00,1.40,25.00,86.00,189.00,9.02,6.40,1,2,0,Fh,400.00
181032.00,333031.00,1.80,25.00,97.00,251.00,9.07,9.00,1,1,0,Ag,300.00
180874.00,333339.00,11.20,93.00,285.00,1096.00,7.32,15.40,1,1,1,W,20.00
180969.00,333252.00,2.50,31.00,183.00,504.00,8.82,8.40,1,1,0,Ah,130.00
181011.00,333161.00,2.00,27.00,130.00,326.00,8.94,9.10,1,1,0,Ah,220.00
180830.00,333246.00,9.50,86.00,240.00,1032.00,7.70,16.20,1,1,1,W,10.00
180763.00,333104.00,7.00,74.00,133.00,606.00,7.16,16.00,1,1,1,W,10.00
180694.00,332972.00,7.10,69.00,148.00,711.00,7.10,16.00,1,1,1,W,10.00
180625.00,332847.00,8.70,69.00,207.00,735.00,7.02,13.70,1,1,1,W,10.00
180555.00,332707.00,12.90,95.00,284.00,1052.00,6.86,14.80,1,1,1,NA,10.00
180642.00,332708.00,5.50,53.00,194.00,673.00,8.91,10.20,1,1,1,Am,80.00
180704.00,332717.00,2.80,35.00,123.00,402.00,8.99,7.20,1,1,1,Am,140.00
180704.00,332664.00,2.90,35.00,110.00,343.00,8.83,7.20,1,1,1,Ag,160.00
181153.00,332925.00,1.70,24.00,85.00,218.00,9.02,7.00,1,2,0,Ah,440.00
181147.00,332823.00,1.40,26.00,75.00,200.00,8.98,6.90,1,2,0,W,490.00
181167.00,332778.00,1.50,22.00,76.00,194.00,8.97,6.30,1,2,0,W,530.00
181008.00,332777.00,1.30,27.00,73.00,207.00,8.51,5.60,1,2,0,Ab,400.00
180973.00,332687.00,1.30,24.00,67.00,180.00,8.74,4.40,1,2,0,Ag,400.00
180916.00,332753.00,1.80,22.00,87.00,240.00,8.97,5.30,1,2,0,Ah,330.00
181352.00,332946.00,1.50,21.00,65.00,180.00,9.04,4.80,1,2,0,Ag,630.00
181133.00,332570.00,1.30,29.00,78.00,208.00,8.69,2.60,1,2,0,B,570.00
180878.00,332489.00,1.30,21.00,64.00,198.00,8.73,1.00,1,2,0,Ag,390.00
180829.00,332450.00,2.10,27.00,77.00,250.00,8.33,2.40,1,2,0,Ah,360.00
180954.00,332399.00,1.20,26.00,80.00,192.00,7.97,1.90,1,2,0,B,500.00
180956.00,332318.00,1.60,27.00,82.00,213.00,7.81,3.10,1,2,0,B,550.00
180710.00,332330.00,3.00,32.00,97.00,321.00,6.99,1.60,1,2,0,Ab,340.00
180632.00,332445.00,5.80,50.00,166.00,569.00,7.76,3.50,1,2,0,Ab,210.00
180530.00,332538.00,7.90,67.00,217.00,833.00,7.78,8.10,1,1,1,Am,60.00
180478.00,332578.00,8.10,77.00,219.00,906.00,7.00,7.90,1,1,1,W,10.00
180383.00,332476.00,14.10,108.00,405.00,1454.00,6.92,9.50,1,1,1,W,20.00
180494.00,332330.00,2.40,32.00,102.00,298.00,7.52,1.40,1,2,0,Am,170.00
